district,2022/3/27,2022/3/28,2022/3/29,2022/3/30,2022/3/31,2022/4/1,2022/4/2,2022/4/3,2022/4/4,2022/4/5,2022/4/6,2022/4/7,2022/4/8,2022/4/9,2022/4/10,2022/4/11,2022/4/12,2022/4/13,2022/4/14,2022/4/15,2022/4/16,2022/4/17,2022/4/18,2022/4/19,2022/4/20,2022/4/21,2022/4/22,2022/4/23,2022/4/24,2022/4/25,2022/4/26,2022/4/27,2022/4/28,2022/4/29,2022/4/30,2022/5/1,2022/5/2
PudongNew,422,367,192,298,147,79,105,206,348,231,351,424,316,301,351,276,318,440,211,329,290,190,174,85,104,20,28,59,52,49,103,97,66,0,0,10,2
Huangpu,6,16,47,70,22,17,147,37,29,35,39,45,34,3,161,49,57,34,30,18,25,55,83,23,36,4,2,0,1,0,0,0,0,0,0,8,43
Xuhui,53,25,98,95,22,217,254,72,28,70,29,11,201,50,235,45,32,29,65,24,20,40,21,61,22,38,27,14,9,10,15,6,0,0,0,3,3
Changning,4,9,0,12,34,5,12,6,2,5,14,11,3,15,6,4,7,11,13,33,13,19,7,2,13,7,4,17,2,3,1,19,0,0,0,0,6
Jingan,4,4,11,16,13,31,37,45,5,17,17,7,25,18,14,15,68,11,12,19,5,5,4,26,3,8,9,5,14,2,3,15,7,0,0,0,2
Putuo,17,25,8,29,4,34,59,57,10,9,16,21,47,15,52,26,63,29,11,19,23,17,1,5,21,6,2,0,3,4,2,9,1,0,0,0,0
Hongkou,4,3,17,54,24,15,138,20,9,9,54,11,5,31,26,6,21,1,7,3,1,0,6,4,4,2,5,15,7,10,7,22,0,0,0,21,0
Yangpu,9,6,8,6,13,17,22,30,10,26,20,13,18,8,12,8,8,1,2,2,1,5,2,1,11,7,11,18,22,66,0,0,0,0,0,0,0
Minhang,40,26,45,81,60,153,82,60,31,51,34,31,39,46,40,28,18,13,9,9,3,21,10,1,7,27,17,20,16,6,1,2,1,0,0,0,0
Baoshan,15,12,60,18,8,19,54,64,2,14,17,4,15,14,14,9,14,6,1,1,7,4,4,0,8,3,18,30,15,24,23,18,21,0,0,11,12
Jiading,12,35,13,41,11,27,55,18,4,4,27,5,27,7,10,14,12,4,3,10,5,8,3,10,3,9,5,8,3,20,0,0,0,0,0,0,0
Jinshan,3,1,1,3,1,0,0,7,1,0,2,6,5,3,4,3,2,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
Songjiang,15,9,4,27,33,21,11,23,9,32,4,6,15,8,4,12,6,7,6,8,1,8,1,2,6,2,2,3,0,5,2,2,5,0,0,4,0
Qingpu,8,4,2,9,21,11,36,5,4,2,2,3,2,1,8,8,7,1,4,11,3,7,15,7,3,14,13,37,3,0,0,0,0,0,0,1,0
Fengxian,5,15,18,60,5,3,3,10,2,4,6,1,2,5,4,0,2,2,2,2,1,5,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2
Chongming,0,0,1,2,16,0,0,1,0,1,1,1,2,0,2,1,6,9,2,7,17,21,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Shanghai,617,557,525,821,434,649,1015,661,494,510,633,600,756,525,943,504,641,598,378,495,415,406,334,229,242,147,144,236,148,199,158,190,101,0,0,58,71
